Volume Quartile,n,Median Volume,Brier Score,BSS
Q1 (low),72,1221137.8632995002,0.19710416666666666,0.21158333333333335
Q2,71,2120160.3697,0.2366292253521127,0.053483098591549205
Q3,71,3569097.425771,0.22425915492957746,0.10296338028169016
Q4 (high),69,7617603.407805,0.23232318840579716,0.07070724637681136
