book,mean_signed_diff,abs_diff,games_above,games_below
bet365,0.008660383379097688,0.03651312741962472,150,135
draftkings,0.0018180111647273808,0.023515506540317282,153,132
fanduel,-0.0010517035194037832,0.022681342150212003,130,155
si,-0.002193128781988152,0.013364748396822166,127,158
betmgm,-0.002240909084133889,0.012344695085296486,130,155
caesars,-0.0022707742966820684,0.011920640545425833,125,160
betway,-0.002721878861617166,0.015004061971564656,122,163
