book,mean_diff,std_diff,abs_diff,above_avg,below_avg
draftkings,0.1121982565086561,1.0251759863482288,0.31136701910127956,127,157
bet365,-0.21730494437916142,0.8329100345540609,0.38021295584473636,131,153
fanduel,0.10565192926824014,0.7230750134284236,0.26608795530964924,151,134
betway,0.009225250174400254,0.40387075192584787,0.1640450815688658,156,129
betmgm,0.01476026456986573,0.3548280395522689,0.14379493478550398,146,138
caesars,-0.027038699399814455,0.3526182772712345,0.12694868629615041,149,134
si,0.002507943257813605,0.34140820637331554,0.1433087145476764,145,138
