model,brier_score,reliability,resolution,uncertainty,base_rate
ESPN,0.22434025614035089,0.003420908551680364,0.028807168790860278,0.24911049553708833,0.47017543859649125
Consensus (norm),0.21011854938674257,0.002690650637563017,0.04461422696617409,0.24911049553708833,0.47017543859649125
Consensus (shin),0.21202015728850593,0.003583803827151774,0.03820085951422082,0.24911049553708833,0.47017543859649125
Caesars (norm),0.21015624277221398,0.0021822865286164218,0.041229826627430785,0.24911049553708833,0.47017543859649125
DraftKings (norm),0.21075575670070082,0.004094676345443506,0.04390338126818917,0.24911049553708833,0.47017543859649125
Bet365 (norm),0.21410441516067605,0.00290402824483003,0.03902434275464565,0.24911049553708833,0.47017543859649125
