ev_bucket,n_bets,win_rate
< -10,1314,0.69558599695586
-10 to 0,1108,0.5207581227436823
0 to 10,577,0.4488734835355286
10 to 25,432,0.27314814814814814
> 25,537,0.22160148975791433
