confidence_bucket,n_games,espn_mean_error,consensus_mean_error,espn_abs_error
Heavy Away Underdog (<30%),38,0.07457894736842105,0.02378308715518422,0.31326315789473685
Slight Away Underdog (30–50%),124,0.0001854838709677439,-0.03199656944268676,0.4740403225806452
Slight Away Favourite (50–70%),107,-0.054514018691588784,-0.029308111109831485,0.4785887850467289
Heavy Away Favourite (>70%),16,0.12943750000000004,0.15086441045088606,0.4276875
