Model,Brier Score,BSS,n
Sportsbook Consensus,0.210299577259998,0.15880169096000796,283
ESPN,0.22163778124861852,0.11344887500552592,283
Polymarket,0.22242005300353357,0.11031978798586572,283
Naive (50/50),0.25,0.0,283
