model,log_loss
Draftkings (norm),0.6046882869087479
Consensus (norm),0.6051778568721373
Betmgm (norm),0.6056924863993272
Caesars (norm),0.6057733121133482
Si (norm),0.6060840252097393
Fanduel (norm),0.6063791390661942
Betway (norm),0.6071352624027563
Consensus (shin),0.610182841869381
Bet365 (norm),0.6190400292806586
ESPN,0.6387645183572443
