book,positive_ev_bets,mean_ev,total_ev,max_ev
draftkings,221,34.78164096511024,7686.742653289363,391.4000000000001
fanduel,227,33.50970269452645,7606.702511657505,322.40000000000003
betmgm,226,26.634881015502927,6019.483109503662,288.7
si,226,26.526200744283667,5994.921368208109,228.89999999999998
betway,224,26.75447287406688,5993.001923790981,270.6
caesars,226,25.139537078693806,5681.5353797848,243.85000000000002
bet365,218,24.615175888159797,5366.1083436188355,539.8000000000001
